"Bevolkingsontwikkeling; levendgeborenen, overledenen en migratie, per dag"
"Onderwerpen";"Levendgeborenen"
"Onderwerpen";"Jongens en meisjes"
"Perioden";"aantal"
"Totaal 1995";"190513"
"Totaal januari 1995";"16436"
"Zondag 1 januari 1995";"368"
"Maandag 2 januari 1995";"439"
"Dinsdag 3 januari 1995";"529"
"Woensdag 4 januari 1995";"569"
"Donderdag 5 januari 1995";"565"
"Vrijdag 6 januari 1995";"573"
"Zaterdag 7 januari 1995";"460"
"Zondag 8 januari 1995";"411"
"Maandag 9 januari 1995";"535"
"Dinsdag 10 januari 1995";"609"
"Woensdag 11 januari 1995";"564"
"Donderdag 12 januari 1995";"618"
"Vrijdag 13 januari 1995";"544"
"Zaterdag 14 januari 1995";"419"
"Zondag 15 januari 1995";"416"
"Maandag 16 januari 1995";"557"
"Dinsdag 17 januari 1995";"534"
"Woensdag 18 januari 1995";"587"
"Donderdag 19 januari 1995";"621"
"Vrijdag 20 januari 1995";"588"
"Zaterdag 21 januari 1995";"435"
"Zondag 22 januari 1995";"460"
"Maandag 23 januari 1995";"551"
"Dinsdag 24 januari 1995";"575"
"Woensdag 25 januari 1995";"647"
"Donderdag 26 januari 1995";"597"
"Vrijdag 27 januari 1995";"547"
"Zaterdag 28 januari 1995";"452"
"Zondag 29 januari 1995";"478"
"Maandag 30 januari 1995";"605"
"Dinsdag 31 januari 1995";"583"
"Totaal februari 1995";"14824"
"Woensdag 1 februari 1995";"597"
"Donderdag 2 februari 1995";"572"
"Vrijdag 3 februari 1995";"546"
"Zaterdag 4 februari 1995";"464"
"Zondag 5 februari 1995";"426"
"Maandag 6 februari 1995";"549"
"Dinsdag 7 februari 1995";"558"
"Woensdag 8 februari 1995";"586"
"Donderdag 9 februari 1995";"582"
"Vrijdag 10 februari 1995";"572"
"Zaterdag 11 februari 1995";"427"
"Zondag 12 februari 1995";"431"
"Maandag 13 februari 1995";"498"
"Dinsdag 14 februari 1995";"608"
"Woensdag 15 februari 1995";"620"
"Donderdag 16 februari 1995";"553"
"Vrijdag 17 februari 1995";"556"
"Zaterdag 18 februari 1995";"445"
"Zondag 19 februari 1995";"477"
"Maandag 20 februari 1995";"590"
"Dinsdag 21 februari 1995";"588"
"Woensdag 22 februari 1995";"540"
"Donderdag 23 februari 1995";"537"
"Vrijdag 24 februari 1995";"552"
"Zaterdag 25 februari 1995";"436"
"Zondag 26 februari 1995";"476"
"Maandag 27 februari 1995";"499"
"Dinsdag 28 februari 1995";"539"
"Totaal maart 1995";"16205"
"Woensdag 1 maart 1995";"584"
"Donderdag 2 maart 1995";"594"
"Vrijdag 3 maart 1995";"553"
"Zaterdag 4 maart 1995";"435"
"Zondag 5 maart 1995";"412"
"Maandag 6 maart 1995";"521"
"Dinsdag 7 maart 1995";"627"
"Woensdag 8 maart 1995";"535"
"Donderdag 9 maart 1995";"569"
"Vrijdag 10 maart 1995";"551"
"Zaterdag 11 maart 1995";"452"
"Zondag 12 maart 1995";"393"
"Maandag 13 maart 1995";"540"
"Dinsdag 14 maart 1995";"574"
"Woensdag 15 maart 1995";"554"
"Donderdag 16 maart 1995";"554"
"Vrijdag 17 maart 1995";"530"
"Zaterdag 18 maart 1995";"432"
"Zondag 19 maart 1995";"403"
"Maandag 20 maart 1995";"540"
"Dinsdag 21 maart 1995";"550"
"Woensdag 22 maart 1995";"518"
"Donderdag 23 maart 1995";"594"
"Vrijdag 24 maart 1995";"565"
"Zaterdag 25 maart 1995";"459"
"Zondag 26 maart 1995";"403"
"Maandag 27 maart 1995";"545"
"Dinsdag 28 maart 1995";"569"
"Woensdag 29 maart 1995";"539"
"Donderdag 30 maart 1995";"577"
"Vrijdag 31 maart 1995";"533"
"Totaal april 1995";"14906"
"Zaterdag 1 april 1995";"434"
"Zondag 2 april 1995";"401"
"Maandag 3 april 1995";"526"
"Dinsdag 4 april 1995";"590"
"Woensdag 5 april 1995";"540"
"Donderdag 6 april 1995";"531"
"Vrijdag 7 april 1995";"531"
"Zaterdag 8 april 1995";"414"
"Zondag 9 april 1995";"389"
"Maandag 10 april 1995";"545"
"Dinsdag 11 april 1995";"587"
"Woensdag 12 april 1995";"554"
"Donderdag 13 april 1995";"565"
"Vrijdag 14 april 1995";"508"
